City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,ostrovnoy,68.0531,39.5131,266.13,94,66,4.02,RU,1670093453
205,crateus,-5.1783,-40.6775,308.34,20,89,3.7,BR,1670093501
206,portland,45.5234,-122.6762,280.5,58,40,6.71,US,1670093319
207,suntar,62.1444,117.6319,259.63,95,100,2.88,RU,1670093502
208,solnechnyy,50.7214,136.6319,252.47,97,100,1.05,RU,1670093502
209,salinas,36.6777,-121.6555,285.96,87,100,1.54,US,1670093495
210,svetlyy,54.675,20.1347,270.18,95,96,3.72,RU,1670093503
211,saint george,37.1041,-113.5841,285.06,41,0,0.45,US,1670093503
212,udachnyy,66.4167,112.4,257.42,93,100,9.06,RU,1670093504
213,tessalit,20.1986,1.0114,299.16,16,6,2.21,ML,1670093504
214,itarema,-2.9248,-39.9167,302.13,62,11,8.18,BR,1670093505
215,veraval,20.9,70.3667,296.45,63,7,2.19,IN,1670093277
216,merrill,45.1805,-89.6835,264.32,62,0,4.63,US,1670093319
217,nyagan,62.1406,65.3936,263.22,93,100,3.34,RU,1670093506
218,aksu,41.1231,80.2644,267.76,28,83,0.74,CN,1670093506
219,lazaro cardenas,17.9583,-102.2,302.86,56,5,2.97,MX,1670093256
220,raga,8.4596,25.678,298.86,20,11,2.24,SS,1670093507
221,mar del plata,-38.0023,-57.5575,302.5,70,0,6.17,AR,1670093507
222,baykit,61.67,96.37,247.3,100,83,1.25,RU,1670093507
223,pevek,69.7008,170.3133,255.38,77,76,5.37,RU,1670093224
224,bull savanna,17.8868,-77.5902,300.43,61,33,3.36,JM,1670093508
225,zeya,53.75,127.2667,240.13,96,67,0.75,RU,1670093254
226,yalkhoy-mokhk,43.1053,46.1904,274.41,88,100,2.93,RU,1670093509
227,amasya,40.6667,35.8333,283.97,89,77,1.51,TR,1670093509
228,khandyga,62.6667,135.6,232.52,100,98,1.16,RU,1670093510
229,norman wells,65.282,-126.8329,274.17,93,100,4.12,CA,1670093510
230,tuatapere,-46.1333,167.6833,284.85,75,100,3.04,NZ,1670093412
231,carutapera,-1.195,-46.02,302.26,62,99,5.1,BR,1670093511
232,humberto de campos,-2.5983,-43.4611,303.8,46,51,5.23,BR,1670093511
233,araouane,18.9048,-3.5265,299.3,15,61,3.22,ML,1670093289
234,oranjestad,12.524,-70.027,303.12,66,40,7.72,AW,1670093512
235,aleksandrov gay,50.147,48.5704,263.38,50,0,4.91,RU,1670093512
236,peniche,39.3558,-9.3811,286.54,91,81,1.48,PT,1670093513
237,kiama,-34.6833,150.8667,290.14,88,0,0.89,AU,1670093477
238,tasiilaq,65.6145,-37.6368,271.99,95,100,11.68,GL,1670093513
239,ibra,22.6906,58.5334,292.56,72,0,0.69,OM,1670093514
240,moron,-34.6534,-58.6198,304.23,46,16,2.71,AR,1670093514
241,vangaindrano,-23.35,47.6,294.38,94,100,0.84,MG,1670093514
242,kuala pilah,2.7389,102.2487,296.57,97,100,1.27,MY,1670093515
243,north bend,43.4065,-124.2243,283.1,78,20,3.09,US,1670093515
244,akhtubinsk,48.2795,46.1722,264.91,43,0,5.57,RU,1670093516
245,cidreira,-30.1811,-50.2056,297.66,85,100,3.13,BR,1670093516
246,bontang,0.1333,117.5,297.5,89,100,1.92,ID,1670093516
247,laguna,38.421,-121.4238,284.36,94,100,2.57,US,1670093517
248,alekseyevsk,57.8406,108.3492,254.88,93,100,4.34,RU,1670093517
249,nome,64.5011,-165.4064,273.19,93,100,4.63,US,1670093518
250,beringovskiy,63.05,179.3167,270.77,97,100,10.72,RU,1670093462
251,naze,28.3667,129.4833,293.66,82,100,4.7,JP,1670093258
252,requena,39.4883,-1.1004,280.81,62,99,1.26,ES,1670093470
253,esperance,-33.8667,121.9,289.4,84,100,6.26,AU,1670093359
254,baisha,26.5222,110.9311,278.79,94,100,1.44,CN,1670093519
255,rosario do sul,-30.2583,-54.9142,303.37,49,66,5.2,BR,1670093519
256,necochea,-38.5473,-58.7368,303.34,25,1,3.84,AR,1670093519
257,luderitz,-26.6481,15.1594,290.26,66,8,9.92,NA,1670093520
258,mukhen,48.1,136.1,253.53,87,70,4.1,RU,1670093520
259,behat,30.1667,77.6167,287.85,65,0,1.28,IN,1670093520
260,sobolevo,54.4299,31.8996,267.43,92,100,5.15,RU,1670093521
261,vilyuysk,63.7553,121.6247,238.55,100,100,0.61,RU,1670093521
262,voh,-20.9667,164.7,298.03,94,100,1.49,NC,1670093522
263,broome,42.2506,-75.833,284.74,87,100,7.72,US,1670093522
264,san quintin,30.4833,-115.95,291.73,56,100,0.93,MX,1670093522
265,zaragoza,41.6561,-0.8773,278.72,87,75,2.06,ES,1670093523
266,bremen,53.0752,8.8078,273.7,86,100,3.6,DE,1670093524
267,parabel,58.6978,81.4825,255.22,94,100,3.22,RU,1670093524
268,plast,54.3691,60.8136,253.88,90,13,2.76,RU,1670093524
269,chipoka,-13.9933,34.5157,299.06,66,98,1.82,MW,1670093525
270,ambilobe,-13.2,49.05,297.57,87,100,2.06,MG,1670093525
271,haines junction,60.7522,-137.5108,256.12,85,15,0.51,CA,1670093271
272,cherskiy,68.75,161.3,251.37,87,100,2.99,RU,1670093458
273,beloha,-25.1667,45.05,296.38,81,60,3.95,MG,1670093526
274,ixtapa,20.7,-105.2,305.54,45,76,2.84,MX,1670093526
275,manavalakurichi,8.1333,77.3,298.94,79,100,2.0,IN,1670093527
276,severo-kurilsk,50.6789,156.125,269.53,82,35,3.06,RU,1670093528
277,paamiut,61.994,-49.6678,271.46,69,100,1.12,GL,1670093393
278,lakatoro,-16.0999,167.4164,300.69,82,100,5.15,VU,1670093528
279,saint-augustin,51.226,-58.6502,273.94,85,100,8.1,CA,1670093529
280,mount gambier,-37.8333,140.7667,286.79,67,9,2.56,AU,1670093529
281,maniitsoq,65.4167,-52.9,271.69,65,100,10.23,GL,1670093529
282,quelimane,-17.8786,36.8883,298.91,72,0,3.16,MZ,1670093530
283,lorengau,-2.0226,147.2712,300.05,81,100,2.89,PG,1670093494
284,skibbereen,51.55,-9.2667,280.99,79,100,3.54,IE,1670093530
285,kvarkeno,52.0833,59.725,254.99,86,4,3.37,RU,1670093531
286,kokoda,-8.8785,147.7407,296.24,90,100,1.59,PG,1670093531
287,berdigestyakh,62.0989,126.6992,241.65,100,100,0.71,RU,1670093532
288,quepos,9.4236,-84.1652,300.32,77,25,2.1,CR,1670093532
289,nouadhibou,20.931,-17.0347,293.14,83,0,5.14,MR,1670093532
290,araceli,10.5529,119.9913,300.98,81,100,6.93,PH,1670093533
291,peto,20.1333,-88.9167,304.72,43,35,2.17,MX,1670093533
292,port blair,11.6667,92.75,301.17,83,40,3.09,IN,1670093407
293,saint anthony,45.0205,-93.218,263.1,66,0,6.17,US,1670093534
294,sanary-sur-mer,43.1178,5.8001,286.12,91,100,4.92,FR,1670093534
295,castro,-24.7911,-50.0119,295.34,85,100,0.79,BR,1670093116
296,krumovgrad,41.4667,25.65,282.62,94,100,1.75,BG,1670093535
297,namibe,-15.1961,12.1522,295.16,80,100,1.2,AO,1670093359
298,los alamos,35.8881,-106.307,284.28,44,40,2.06,US,1670093379
299,saskylakh,71.9167,114.0833,259.22,89,100,11.17,RU,1670093536
300,harper,4.375,-7.7169,298.42,85,100,6.5,LR,1670093536
301,chaiyaphum,15.75,102.0,296.39,80,100,2.85,TH,1670093537
302,kununurra,-15.7667,128.7333,295.14,78,100,1.54,AU,1670093537
303,chuy,-33.6971,-53.4616,292.08,94,100,2.02,UY,1670093094
304,da nang,16.0678,108.2208,297.14,94,75,3.6,VN,1670093537
305,baruun-urt,46.6806,113.2792,250.9,85,2,3.77,MN,1670093538
306,caconda,-13.7333,15.0667,291.42,72,99,1.73,AO,1670093296
307,moa,20.6569,-74.9403,300.14,70,9,7.51,CU,1670093539
308,batemans bay,-35.7167,150.1833,287.09,90,1,1.48,AU,1670093539
309,gijon,43.5357,-5.6615,283.04,91,100,1.34,ES,1670093540
310,carauari,-4.8828,-66.8958,304.06,61,99,0.91,BR,1670093540
311,saint-louis,16.3333,-15.0,303.95,19,53,3.32,SN,1670093540
312,kawalu,-7.3817,108.2082,295.11,95,94,0.67,ID,1670093541
313,shingu,33.7333,135.9833,282.72,76,28,1.85,JP,1670093541
314,alofi,-19.0595,-169.9187,298.09,100,97,0.51,NU,1670093417
315,smithers,54.7804,-127.1743,253.33,77,20,2.57,CA,1670093542
316,lichtenburg,-26.152,26.1597,296.7,33,4,3.27,ZA,1670093542
317,muscat,23.6139,58.5922,297.63,62,0,3.98,OM,1670093543
318,calama,-22.4667,-68.9333,294.42,9,0,8.75,CL,1670093543
319,ancud,-41.8697,-73.8203,287.8,78,82,5.67,CL,1670093543
320,dunedin,-45.8742,170.5036,286.37,72,100,0.89,NZ,1670093544
321,srednekolymsk,67.45,153.6833,233.95,100,35,0.64,RU,1670093544
322,columbus,39.9612,-82.9988,281.19,66,40,7.72,US,1670093435
323,bengkulu,-3.8004,102.2655,296.79,90,100,1.65,ID,1670093140
324,pochutla,15.7432,-96.4661,306.38,42,0,2.8,MX,1670093545
325,benghazi,32.1167,20.0667,291.54,56,0,6.16,LY,1670093543
326,baghdad,33.3406,44.4009,286.1,100,90,3.09,IQ,1670093452
327,grenada,37.1882,-3.6067,282.35,72,75,2.06,ES,1670093527
328,jiquilisco,13.3167,-88.5833,304.22,52,2,1.02,SV,1670093546
329,jonava,55.0833,24.2833,270.18,98,100,3.6,LT,1670093546
330,seymchan,62.8833,152.4333,233.73,100,71,0.34,RU,1670093547
331,coquimbo,-29.9533,-71.3436,291.0,72,75,5.66,CL,1670093547
332,mayo,38.8876,-76.5119,289.96,85,100,6.17,US,1670093548
333,huarmey,-10.0681,-78.1522,295.86,72,52,4.58,PE,1670093548
334,el campo,29.1966,-96.2697,295.31,100,100,3.09,US,1670093549
335,palana,59.1167,159.9667,259.07,91,95,6.81,RU,1670093549
336,lata,40.1629,-8.3327,287.49,81,98,0.85,PT,1670093264
337,sychevka,55.8252,34.2736,265.88,93,99,4.55,RU,1670093550
338,itamarandiba,-17.8572,-42.8589,294.85,76,100,2.05,BR,1670093498
339,markovo,57.3206,107.0881,254.67,94,100,2.99,RU,1670093550
340,rio gallegos,-51.6226,-69.2181,288.18,41,40,14.4,AR,1670093551
341,bambous virieux,-20.3428,57.7575,297.29,78,40,1.54,MU,1670093275
342,ostersund,63.1792,14.6357,266.4,100,100,3.58,SE,1670093551
343,buta,2.7858,24.73,296.56,71,56,1.13,CD,1670093552
344,soanierana ivongo,-16.9167,49.5833,297.08,87,61,1.55,MG,1670093552
345,elizabeth city,36.2946,-76.2511,292.16,82,100,3.09,US,1670093553
346,pitimbu,-7.4706,-34.8086,302.48,70,14,5.94,BR,1670093553
347,kaeo,-35.1,173.7833,288.37,76,0,1.58,NZ,1670093412
348,carnot,4.9409,15.8665,298.66,48,98,0.6,CF,1670093554
349,ndele,8.4109,20.6473,298.98,22,39,2.21,CF,1670093554
350,wagar,16.1525,36.2032,299.53,50,0,6.58,SD,1670093555
351,mackay,-21.15,149.2,295.2,73,3,6.82,AU,1670093469
352,abu samrah,35.3029,37.1841,287.12,72,91,1.56,SY,1670093555
353,terrace,54.5163,-128.6035,261.1,56,20,10.8,CA,1670093385
